total_tasks,completed_tasks,assigned_time_minutes,actual_time_minutes,productivity_score
6,3,2880,1757,95.57
15,2,3600,4066,43.42
18,2,4320,4116,48.65
19,5,9120,13003,43.84
15,3,4500,4635,50.83
18,5,8640,6763,67.77
10,7,2400,3128,72.69
19,16,7980,9763,83.22
13,2,4680,7006,35.95
15,8,6300,3708,99.96
8,1,2400,2164,51.86
7,5,2100,2661,74.42
14,10,4200,2345,100.0
15,4,3600,3215,60.79
17,11,6120,4944,88.34
9,8,4320,4198,94.5
19,4,9120,8091,57.72
6,3,1800,2280,61.58
14,5,3360,4084,54.34
10,10,4200,5161,92.55
17,1,7140,8674,36.46
7,7,1680,2493,86.96
20,18,8400,12383,81.13
20,8,4800,5311,60.15
5,4,1500,1861,80.24
9,5,4320,6382,60.41
12,4,3600,2927,69.2
7,3,3360,3761,61.45
15,3,5400,4319,62.01
7,4,2520,3653,61.88
9,0,4320,5375,32.15
9,7,4320,2833,100.0
9,3,4320,6466,46.72
5,1,1200,1407,46.12
18,5,5400,6060,52.31
7,6,2520,2887,86.34
20,18,9600,11415,87.64
11,0,2640,3270,32.29
16,13,6720,6075,93.0
15,4,5400,3429,78.99
16,9,4800,3322,91.55
16,6,6720,3601,97.15
10,3,3600,3247,62.35
10,1,4800,5013,44.3
6,5,1440,890,100.0
7,6,3360,3676,87.99
11,7,4620,4604,78.32
18,9,7560,7910,68.23
6,4,2520,3549,68.4
19,0,6840,5943,46.04
11,5,2640,2749,65.69
13,11,3120,4346,79.49
7,7,3360,4007,93.54
8,8,2400,1405,100.0
16,10,7680,4784,100.0
19,6,4560,5552,51.8
16,2,4800,3779,58.31
19,8,5700,3235,95.74
11,3,5280,7742,43.64
8,5,3840,4058,75.35
14,8,4200,3360,84.29
5,0,1500,1600,37.5
8,8,2880,3694,91.19
17,15,5100,4866,94.86
17,13,5100,7316,73.77
12,7,5760,6440,70.78
11,11,5280,6956,90.36
17,7,6120,7843,55.92
14,0,3360,4523,29.71
9,4,3240,3781,60.94
20,13,7200,6653,82.29
12,2,3600,4731,40.44
13,1,6240,6112,45.45
13,1,5460,4361,54.7
13,8,6240,4347,94.34
16,5,6720,7181,56.18
13,5,5460,4895,67.69
17,0,7140,7343,38.89
10,2,4800,4604,53.7
8,4,2880,3247,65.48
8,8,2400,2754,94.86
9,1,3240,1634,85.98
9,5,2160,2402,69.3
6,6,1440,859,100.0
16,0,6720,5555,48.39
17,2,8160,11808,34.7
6,2,2520,2325,63.35
16,13,6720,9202,77.96
10,0,2400,3516,27.3
19,13,4560,3228,97.56
15,15,6300,9113,87.65
10,4,3000,1813,90.19
18,13,5400,3256,100.0
8,5,2880,2449,84.54
5,0,1500,1495,40.13
14,3,5880,4447,65.75
7,0,2100,1210,69.42
11,8,5280,3637,100.0
8,3,3360,2164,84.61
14,8,5040,5351,71.96
8,7,2880,3075,89.96
12,2,5760,7996,38.81
10,3,2400,1480,82.86
11,10,4620,4024,100.0
14,14,4200,4082,100.0
19,18,9120,12539,85.94
19,12,9120,11526,69.54
16,13,4800,3379,100.0
10,5,3000,3174,67.81
16,15,4800,6486,85.85
6,0,1440,1861,30.95
19,9,6840,4811,85.29
19,9,7980,10314,59.37
19,19,6840,4758,100.0
18,4,8640,9369,50.22
20,0,6000,3834,62.6
7,7,2520,3695,87.28
14,14,3360,1826,100.0
5,3,2100,2580,68.56
9,1,2160,1594,60.87
19,13,5700,8227,68.77
6,2,1440,1165,69.44
15,5,3600,2745,72.46
11,8,3300,4547,72.67
16,1,3840,3025,54.53
9,9,4320,4038,100.0
9,3,4320,4764,56.27
12,11,5760,4519,100.0
17,0,8160,5011,65.14
12,1,2880,2177,57.92
16,13,5760,4829,96.46
7,6,1680,2142,82.8
19,19,7980,8512,97.5
17,17,6120,5873,100.0
19,13,7980,4004,100.0
20,17,9600,5739,100.0
14,1,5040,2961,72.37
13,1,3900,5708,31.95
15,10,3600,4822,69.86
10,1,4200,4457,43.69
10,6,4200,5474,66.69
11,1,5280,2863,79.22
11,9,5280,3364,100.0
11,5,3300,4662,55.59
19,10,6840,8188,64.99
17,17,7140,7119,100.0
16,7,7680,4112,100.0
18,15,8640,4660,100.0
8,6,2400,2114,90.41
10,0,4200,3128,53.71
11,1,3960,3871,46.37
7,6,1680,1004,100.0
19,7,7980,9480,55.78
11,1,3960,2681,64.54
18,4,5400,7023,44.09
10,9,2400,3431,81.98
15,5,3600,2565,76.14
18,3,5400,5998,46.01
8,0,3360,3399,39.54
12,7,2880,2643,78.59
19,19,7980,7319,100.0
11,10,4620,2335,100.0
15,2,6300,9050,35.85
8,2,3840,3775,55.69
14,6,3360,1771,100.0
15,3,7200,3655,90.8
8,6,2400,1257,100.0
16,7,5760,8446,53.53
18,16,7560,8285,89.83
15,4,5400,5050,58.77
10,0,4800,4119,46.61
17,0,7140,7302,39.11
8,1,2880,2960,46.42
8,5,2400,3338,66.26
12,9,5760,7692,74.95
14,8,5040,6234,66.62
15,1,5400,2703,83.91
6,4,1800,2563,68.09
12,12,2880,2517,100.0
19,8,7980,4763,92.28
20,5,8400,9980,48.67
7,6,2520,1469,100.0
18,11,7560,8376,72.77
8,5,2880,2505,83.49
14,6,4200,2918,83.29
20,7,6000,3159,96.97
7,3,3360,4322,56.81
13,11,6240,5300,97.86
15,1,4500,6435,31.97
15,4,5400,6987,46.91
7,0,2520,3453,29.19
17,7,6120,5412,69.94
16,1,6720,7698,38.67
14,4,5040,2898,86.71
7,5,2940,2134,97.96
9,6,4320,6040,68.61
7,3,2100,1562,79.49
12,5,4320,2616,91.06
11,7,3960,4201,75.89
19,4,6840,4124,78.97
8,1,3360,4678,36.23
16,9,5760,6879,67.24
13,10,5460,5208,88.09
12,10,4320,2184,100.0
20,0,9600,12048,31.87
8,0,3360,4804,27.98
10,7,3000,3432,76.97
14,8,5040,3246,96.39
15,4,3600,2500,73.6
16,14,4800,6863,80.48
7,6,2520,1374,100.0
7,4,3360,4969,61.33
13,8,5460,4479,85.68
18,3,7560,7591,49.84
15,13,6300,8744,80.82
11,10,3960,2199,100.0
14,12,4200,3668,97.23
20,18,9600,13028,83.47
13,9,3120,2698,87.79
16,15,7680,4652,100.0
12,4,4320,3914,64.15
12,10,4320,4761,86.29
9,0,4320,6437,26.84
10,3,3600,1916,93.16
11,2,4620,6830,37.97
10,1,2400,2323,47.33
18,11,6480,6161,78.74
17,1,7140,9526,33.51
9,2,4320,3134,68.47
18,8,7560,10471,55.55
20,7,4800,5339,56.96
9,2,2160,1860,59.78
6,1,2160,3187,37.11
12,3,2880,2296,65.17
16,1,7680,11148,31.31
18,11,6480,9679,63.45
8,5,1920,1126,100.0
14,10,5880,5692,84.18
12,0,3600,2748,52.4
12,7,4320,3551,83.66
16,9,3840,5616,61.1
16,6,3840,5571,50.07
7,3,2940,3731,57.23
11,2,3960,4723,44.45
5,4,2100,1063,100.0
15,11,3600,3246,88.36
7,4,2520,2593,73.16
8,7,2880,3595,84.54
11,5,3300,2454,81.06
8,0,3360,3199,42.01
9,8,2160,2400,89.33
8,4,2880,2286,80.39
9,9,2700,2994,96.07
17,12,5100,5000,83.15
9,4,4320,4189,67.92
7,4,2520,2410,76.11
5,1,1500,975,73.54
14,5,5040,6286,53.5
12,8,2880,3833,70.05
9,0,4320,4510,38.31
10,4,3600,2678,77.77
6,3,1800,1912,67.66
15,10,3600,1996,100.0
8,6,2880,3404,78.84
12,6,5040,3716,84.25
12,6,5040,6161,62.72
18,8,5400,7139,56.92
14,12,6720,9113,80.92
18,3,5400,4560,57.37
8,4,2400,2644,66.31
10,3,3000,3924,48.58
17,7,5100,3178,88.9
10,2,4800,5906,44.51
20,12,7200,4028,100.0
5,5,1200,1477,92.5
18,14,5400,2914,100.0
9,8,3780,4404,87.67
7,5,1680,1157,100.0
19,0,7980,4841,65.94
12,3,2880,3539,47.55
12,9,5760,5046,90.66
7,4,2940,1561,100.0
19,18,4560,5153,92.24
13,12,3900,3062,100.0
6,3,2160,1728,80.0
19,17,6840,6349,96.78
20,11,9600,7762,82.47
13,11,6240,3355,100.0
8,5,3360,3828,72.61
12,3,4320,5399,47.01
8,2,3360,3332,55.34
7,4,1680,2089,66.45
5,2,1800,1367,76.67
17,4,4080,4988,46.84
8,2,3360,2446,69.95
17,2,4080,4543,42.98
9,3,4320,4209,61.05
10,4,3600,2539,80.72
18,3,8640,8770,49.41
8,8,2400,2498,98.43
9,9,2700,1729,100.0
10,7,4800,2999,100.0
6,0,2880,2876,40.06
15,8,5400,5123,74.16
19,1,5700,5024,48.54
12,9,2880,1826,100.0
7,1,2940,2974,48.11
19,5,7980,6523,64.72
16,4,5760,8348,42.6
20,10,4800,3836,80.05
6,0,2880,2095,54.99
9,6,4320,2907,99.44
6,5,2520,1609,100.0
9,9,2160,1987,100.0
13,7,3120,2940,74.76
20,13,6000,8207,68.24
11,7,3300,4441,67.9
17,3,5100,3125,75.87
20,11,7200,7422,71.8
19,18,6840,5807,100.0
8,8,1920,2377,92.31
9,9,4320,3933,100.0
18,4,6480,7608,47.4
9,4,4320,3922,70.73
16,16,4800,2675,100.0
11,1,3960,4770,38.66
17,7,7140,10597,51.66
15,1,3600,2126,71.73
14,8,4200,2503,100.0
6,0,2520,1981,50.88
7,7,2940,4159,88.28
9,7,3780,4905,77.49
13,7,6240,8481,61.74
8,3,3840,3854,62.35
14,9,5040,3932,89.84
16,5,7680,6378,66.92
9,2,2700,3683,42.66
8,0,2880,3092,37.26
8,8,3840,5348,88.72
10,0,3000,1561,76.87
6,6,2160,3068,88.16
10,4,3000,2672,68.91
9,7,4320,6356,73.85
18,3,6480,6063,52.75
10,1,2400,3142,36.55
15,8,5400,6143,67.16
9,0,4320,4465,38.7
8,6,2400,1564,100.0
9,2,3240,4266,43.71
16,10,6720,7706,72.38
15,12,7200,3814,100.0
18,1,6480,6424,43.68
14,1,5040,5429,41.42
17,0,4080,3381,48.27
17,3,7140,9485,40.7
13,0,6240,9070,27.52
7,1,1680,2519,35.25
19,9,6840,5011,83.02
11,2,2640,2023,63.11
19,1,7980,6601,51.51
8,6,1920,1774,88.29
19,12,9120,6885,90.88
8,8,1920,1757,100.0
12,9,3600,2640,99.55
5,4,2400,1342,100.0
14,3,4200,2588,77.77
19,18,4560,2774,100.0
20,9,7200,9294,57.99
15,0,5400,3617,59.72
15,11,6300,7142,79.28
17,6,4080,2956,76.39
5,1,1500,886,79.72
10,4,3000,1614,98.35
12,0,3600,2258,63.77
14,0,3360,2023,66.44
18,4,7560,4599,79.09
14,12,6720,9461,79.84
11,1,5280,7256,34.56
19,19,4560,4143,100.0
14,10,6720,4675,100.0
16,14,3840,4366,87.68
11,11,3960,3806,100.0
18,8,7560,11312,53.4
14,9,4200,6254,65.43
10,0,3000,3243,37.0
6,4,1440,967,99.57
5,3,1200,1441,69.31
12,4,2880,3963,49.07
12,11,5040,4980,95.48
8,5,3360,2404,93.41
11,3,3300,3949,49.79
7,3,3360,1827,99.28
17,8,7140,6880,69.75
18,8,5400,5241,67.88
16,2,5760,5616,48.53
9,6,4320,5903,69.27
11,11,2640,2179,100.0
16,1,7680,6285,52.63
17,5,5100,6830,47.52
18,2,5400,5634,45.01
18,18,5400,7530,88.69
10,3,3600,2322,80.02
14,10,3360,3255,84.15
14,12,3360,3267,92.57
19,17,7980,7871,94.24
6,3,2880,3428,63.61
20,12,4800,4616,77.59
11,5,2640,3748,55.45
8,1,1920,2545,37.68
19,4,4560,6528,40.57
20,7,6000,3173,96.64
20,16,4800,6919,75.75
8,4,1920,2164,65.49
13,5,6240,3550,93.39
20,11,7200,9879,62.15
5,4,1200,687,100.0
15,15,3600,2096,100.0
11,8,5280,5509,81.97
7,6,3360,2021,100.0
11,8,3300,3308,83.54
7,7,2100,1224,100.0
5,2,1800,1123,88.11
14,0,5040,5867,34.36
8,4,2400,2712,65.4
19,11,9120,7356,84.33
8,0,3360,4952,27.14
5,2,2100,1325,87.4
13,3,3120,2859,57.5
19,13,7980,4406,100.0
19,3,7980,10937,38.66
12,7,5760,6831,68.73
5,2,2400,3024,55.75
14,13,4200,2822,100.0
12,6,5040,6796,59.66
6,5,2160,2838,80.44
14,13,3360,2897,100.0
14,2,6720,8439,40.42
9,7,4320,3761,92.61
15,0,7200,5408,53.25
7,1,3360,2951,54.12
9,8,2700,3657,82.87
10,10,4800,3698,100.0
7,0,1680,1184,56.76
8,8,2400,1679,100.0
13,8,6240,5062,86.23
16,1,5760,5557,45.21
7,2,1680,2036,50.15
11,6,5280,7070,62.6
14,3,5040,5850,47.32
15,12,5400,7806,75.67
11,7,5280,2658,100.0
19,4,7980,10917,41.87
19,5,6840,6373,58.72
12,11,4320,4072,97.44
16,3,7680,8590,47.01
16,12,7680,11414,71.91
16,2,5760,7109,39.91
12,2,5760,6973,43.04
9,8,2160,1965,97.3
19,10,7980,11344,59.72
17,5,7140,8686,50.53
15,7,4500,3580,78.28
13,10,4680,6740,73.93
9,7,3780,3443,90.58
6,5,2520,2311,93.62
6,5,2520,1628,100.0
12,7,2880,3166,71.39
5,4,1500,1561,86.44
12,8,5760,6750,74.13
13,6,3120,2108,86.9
14,3,4200,5922,41.23
6,1,2880,3971,39.01
9,2,3240,2657,62.11
14,14,5040,4167,100.0
7,3,2520,2660,63.61
10,3,3000,4206,46.53
13,9,3120,2730,87.25
18,14,6480,4912,99.44
7,1,2520,2397,50.62
13,6,4680,6220,57.79
11,6,3300,2546,84.57
5,1,2100,1317,75.78
11,7,3300,3776,73.14
10,4,2400,2646,60.28
14,9,4200,4883,72.98
13,13,5460,5785,97.75
14,14,5040,4143,100.0
12,6,5040,4600,73.83
7,2,1680,2486,44.17
5,4,1500,1958,78.64
10,4,3000,3998,54.02
14,12,5880,5324,95.61
20,3,8400,12146,36.66
5,3,1500,893,100.0
16,10,3840,3230,85.05
16,6,4800,4995,60.94
20,19,6000,8545,85.09
9,7,3780,5245,75.49
20,8,6000,4630,75.84
15,3,6300,4770,64.83
10,8,4200,5426,78.96
15,9,3600,2224,100.0
15,13,4500,6186,81.1
9,3,4320,4741,56.45
8,1,2400,2313,49.0
13,1,3120,4311,33.56
15,5,6300,6166,60.87
16,11,7680,11244,68.57
20,8,9600,7806,73.19
5,0,1800,2213,32.54
11,10,4620,6296,83.9
19,10,7980,10826,61.06
8,0,2880,3232,35.64
17,17,6120,5259,100.0
11,10,3300,2178,100.0
12,1,5760,7686,34.98
18,13,5400,7743,71.23
9,3,3780,5040,50.0
14,14,5880,7957,89.56
5,4,1500,2020,77.7
11,7,5280,3811,93.6
8,7,3360,2735,100.0
9,5,4320,3170,87.84
10,6,3600,2047,100.0
18,17,5400,7675,84.81
17,9,4080,5083,63.87
18,5,4320,2584,83.54
20,13,4800,7170,65.78
18,10,6480,4300,93.61
15,10,4500,5811,70.98
11,10,3960,3793,96.31
13,3,5460,6207,49.03
14,7,3360,2525,83.23
16,11,6720,4743,97.92
18,6,7560,4709,84.22
15,0,7200,9613,29.96
16,3,5760,5680,51.81
19,6,4560,2365,96.07
9,7,3780,3049,96.26
14,6,6720,6233,68.84
17,16,7140,10667,83.24
7,3,1680,2469,52.93
17,17,7140,4006,100.0
5,5,2400,1288,100.0
7,5,2940,3709,74.56
20,14,7200,9620,71.94
18,8,4320,5992,55.51
15,8,5400,3018,100.0
20,11,7200,8759,65.88
10,3,3000,3661,50.78
11,8,3300,2471,97.06
17,15,5100,3748,100.0
11,4,2640,2593,62.54
7,7,2940,2675,100.0
14,0,4200,3926,42.79
17,0,7140,6491,44.0
16,2,7680,8515,43.58
13,2,5460,4773,54.99
12,9,5040,6662,75.26
12,3,5040,2678,90.28
14,1,6720,9981,31.22
6,3,1440,1259,75.75
12,6,5760,4252,84.19
19,9,6840,6243,72.25
15,9,7200,6826,78.19
19,15,7980,8333,85.67
5,1,1500,2013,41.81
11,3,5280,3222,81.91
17,6,8160,7860,62.7
10,9,4800,5362,89.81
5,5,2400,2109,100.0
19,9,4560,5904,59.32
9,9,4320,5577,90.98
13,1,4680,6731,32.43
12,2,5760,5632,50.91
15,1,5400,2936,77.57
12,0,2880,3274,35.19
8,5,3840,1947,100.0
5,2,1800,1986,60.25
5,3,1200,1462,68.83
15,9,3600,3983,72.15
11,10,5280,5758,91.22
14,10,4200,4880,77.28
17,14,7140,9480,79.54
17,13,6120,5442,90.87
14,13,6720,3769,100.0
13,2,6240,8786,37.64
10,0,4200,5157,32.58
8,5,3840,5114,67.54
20,16,7200,10161,76.34
12,12,3600,4970,88.97
11,4,3960,5464,50.81
17,10,7140,6206,81.31
11,9,5280,5869,85.08
16,5,5760,4500,69.95
10,0,2400,2833,33.89
15,15,7200,3675,100.0
16,0,3840,5148,29.84
8,7,3360,4892,79.97
9,0,3780,5158,29.31
20,13,9600,7470,90.41
17,8,5100,3833,81.46
18,15,8640,7446,96.41
7,6,2520,1574,100.0
12,3,4320,2506,83.95
12,8,4320,2893,99.73
20,10,7200,6175,76.64
9,7,2160,2729,78.33
14,4,5040,4648,60.52
5,4,2100,1454,100.0
19,9,9120,5818,91.12
7,4,3360,2512,87.79
15,7,4500,5644,59.89
11,6,3960,5054,64.07
10,9,4200,4218,93.83
7,0,2100,2993,28.07
19,11,5700,7343,65.79
7,2,1680,1828,53.9
7,3,1680,1814,62.76
14,7,5880,7563,61.1
9,8,2700,3920,80.88
7,7,3360,3273,100.0
17,4,6120,7984,44.78
6,0,2880,3014,38.22
11,9,3300,2284,100.0
13,11,3120,2920,93.51
20,16,4800,4270,92.96
19,16,6840,6756,91.02
10,9,2400,1306,100.0
8,1,3840,2595,66.69
12,12,5760,6021,98.27
20,15,4800,5912,77.48
5,5,2400,3470,87.67
6,3,2880,1554,100.0
16,16,5760,4397,100.0
15,0,3600,4332,33.24
13,11,6240,4029,100.0
15,7,7200,9257,59.11
19,10,6840,9745,59.65
9,1,3240,3302,45.92
12,6,4320,4629,67.33
16,13,6720,6505,90.07
6,2,2520,2184,66.15
10,5,3000,3495,64.33
15,2,5400,3667,66.9
14,11,6720,6458,88.77
20,14,8400,9256,78.3
8,0,3360,2675,50.24
5,1,2100,2879,41.18
13,6,3900,3261,75.53
20,13,6000,5101,86.05
10,3,3600,3181,63.27
19,11,9120,12435,64.07
17,9,4080,4500,68.03
8,3,2880,3695,53.68
13,11,3900,5033,81.76
5,2,1500,1973,54.41
5,5,2400,2141,100.0
10,1,4800,6535,35.38
14,3,5880,4138,69.7
19,1,4560,4612,42.71
10,9,3600,5191,81.74
5,1,1200,810,71.26
17,8,7140,4456,92.33
8,8,2400,2600,96.92
10,1,4800,2926,71.62
19,3,7980,4565,79.4
15,14,6300,5499,100.0
5,5,1800,2314,91.11
16,12,7680,6838,89.93
17,7,6120,4584,78.11
16,9,4800,4467,76.73
16,13,7680,6234,98.03
16,3,7680,11014,39.14
7,0,1680,2144,31.34
14,14,3360,3951,94.02
6,0,2520,2645,38.11
15,11,3600,4583,75.42
15,15,4500,4632,98.86
6,0,2880,2590,44.48
9,5,3240,4249,63.83
5,2,1200,1520,55.58
20,17,8400,11168,81.09
20,17,9600,10425,87.83
9,0,2700,3731,28.95
5,2,1800,1625,68.31
12,0,2880,2232,51.61
11,5,3960,3925,67.63
12,5,3600,5087,53.31
17,13,6120,4863,96.22
17,15,7140,5528,100.0
14,6,6720,7307,62.5
11,0,2640,2909,36.3
16,11,3840,2182,100.0
11,9,3300,3030,92.66
14,14,4200,3280,100.0
19,14,9120,10918,77.62
14,7,5040,5345,67.72
18,18,7560,9002,93.59
12,7,3600,2543,91.63
13,12,5460,7557,84.28
13,9,3120,4644,68.41
11,11,3960,5006,91.64
7,5,2520,1737,100.0
19,4,4560,4623,52.09
9,8,3780,2836,100.0
18,7,8640,9581,59.4
16,3,3840,2870,64.77
10,8,2400,2368,88.54
13,13,4680,5814,92.2
15,0,5400,6406,33.72
6,1,1800,2389,40.14
6,4,1800,1939,77.13
10,7,4800,2605,100.0
13,8,3900,4818,69.3
7,7,2100,1923,100.0
8,1,2400,2303,49.18
6,3,2880,3638,61.67
9,0,2160,3026,28.55
20,5,4800,4797,55.03
8,8,2400,2727,95.2
7,1,1680,1222,63.56
13,5,6240,7644,55.73
17,3,5100,3875,63.23
19,18,5700,3116,100.0
19,3,5700,5182,53.47
20,6,8400,7484,62.9
17,0,4080,3894,41.91
7,5,3360,3795,78.27
17,13,8160,5238,100.0
10,8,2400,2624,84.59
16,4,7680,10455,44.38
20,3,8400,4774,79.38
12,0,5040,3684,54.72
13,11,6240,4934,100.0
18,2,8640,7135,55.1
18,18,4320,6218,87.79
20,14,8400,5107,100.0
17,15,4080,5484,82.7
8,2,1920,2231,49.42
13,10,4680,4018,92.74
16,7,7680,10386,55.83
19,6,7980,11135,47.61
12,4,5760,5879,59.19
11,5,2640,1706,89.17
9,9,2700,3057,95.33
10,4,3600,3820,61.7
5,3,1500,2084,64.79
19,18,9120,13340,84.19
20,9,4800,2706,97.95
16,9,6720,3748,100.0
9,0,2700,2050,52.68
19,1,6840,4153,69.04
15,1,3600,3417,46.14
13,2,5460,5241,50.9
14,2,3360,4481,38.56
13,2,3900,5637,36.91
15,6,7200,8810,56.69
13,4,3120,4574,45.75
18,14,5400,6261,81.17
17,13,8160,9517,80.18
18,11,7560,6048,86.67
5,2,1800,2315,55.1
8,8,3360,3390,99.65
12,2,4320,2283,85.69
8,1,2880,3642,39.13
10,9,4200,5249,86.01
18,18,8640,7215,100.0
5,0,1200,1087,44.16
7,7,2940,2991,99.32
6,4,1800,1518,87.43
12,3,5040,6201,47.51
13,12,5460,3186,100.0
8,2,2880,1920,75.0
18,4,6480,5495,60.5
5,4,2400,3159,78.39
12,0,4320,6241,27.69
14,11,5880,7284,79.43
16,7,4800,2733,96.5
9,4,3240,4330,56.6
12,6,5040,6071,63.21
14,7,3360,3939,64.12
9,3,2700,2609,61.4
7,4,1680,2086,66.5
16,15,6720,4026,100.0
8,1,3840,5284,36.57
8,3,3840,2336,88.25
14,1,5880,3002,82.63
8,7,2880,2789,93.81
17,11,8160,9761,72.26
18,6,5400,5473,59.47
8,7,1920,1883,93.29
15,8,7200,4524,95.66
12,7,5040,5359,72.62
10,1,4800,5161,43.2
20,20,6000,3171,100.0
7,2,2940,2489,64.39
6,6,1440,1778,92.4
5,5,1800,1085,100.0
17,8,5100,2619,100.0
16,1,3840,2407,67.56
16,6,3840,3234,70.0
10,9,4200,5955,82.21
13,13,6240,4111,100.0
13,4,3900,2691,76.43
5,1,1800,2210,44.58
5,0,2100,2541,33.06
15,6,7200,8618,57.42
9,8,2700,3415,84.96
9,1,2700,2211,55.51
20,18,8400,8998,91.34
5,4,2100,2983,76.16
